gid,latitude,longitude,Estado de Conservacao,Tipo de Abrigo,Abrigo com Publicidade?,Operadora,Carreira,Codigo de Rua,Nome da Rua,Freguesia
706,-101856.51,-101822.02,Bom,Fechado dos Lados,Yes,Vimeca,23,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo
703,-101884.93,-101826.65,Bom,Fechado dos Lados,Yes,Vimeca,23,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo
100,-102002.37,-102008.48,Bom,Fechado dos Lados,No,Vimeca,23,1668,Avenida Engenheiro Valente de Oliveira,Porto Salvo
718,-102227.55,-101920.36,Bom,Fechado dos Lados,Yes,Vimeca,23,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo
729,-102515.87,-101878.09,Bom,Fechado dos Lados,Yes,Vimeca,23,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo
131,-102556.6,-102172.39,Bom,Sem Abrigo,No,Vimeca,23,1671,Rua Professor Dr. José Pinto Peixoto,Porto Salvo
129,-102865.58,-101399.39,Bom,Fechado dos Lados,Yes,Vimeca,23,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo
720,-103014.4,-101951.36,Bom,Fechado dos Lados,No,Vimeca,23,1670,Avenida Domingos Vandelli,Porto Salvo
