gid,latitude,longitude,Estado de Conservacao,Tipo de Abrigo,Abrigo com Publicidade?,Operadora,Carreira,Codigo de Rua,Nome da Rua,Freguesia
262,-107284.78,-104045.09,Bom,Fechado dos Lados,Yes,SCoTTURB,468,1426,Avenida da República,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
263,-107314.88,-104013.15,Bom,Fechado dos Lados,Yes,SCoTTURB,468,1426,Avenida da República,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
507,-107368.48,-103668.54,Bom,Fechado dos Lados,No,SCoTTURB,468,1426,Avenida da República,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
509,-107387.31,-103679.6,Bom,Fechado dos Lados,Yes,SCoTTURB,468,1426,Avenida da República,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
508,-107491.16,-103120.89,Bom,Fechado dos Lados,Yes,SCoTTURB,468,1426,Avenida da República,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
924,-107625.08,-103117.77,Bom,Fechado dos Lados,No,SCoTTURB,468,1431,Avenida Salvador Allende,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
513,-107854.63,-102915.29,Bom,Fechado dos Lados,Yes,SCoTTURB,468,1422,Rua da Quinta Grande,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
